,title,score,author,genre,Story,Url,id
58,백수세끼,9.84,치즈,"스토리, 드라마","백수 시절 내 곁을 지켜줬던 그녀... 돌아와 주면 안 되겠니?
음식 메뉴마다 담겨 있는 우리들의 연애 흑역사!",https://comic.naver.com/webtoon/list?titleId=733074&weekday=mon,733074
59,여신강림,9.38,야옹이,"스토리, 로맨스","네웹 대표 글로벌 인기작! 주경, 수호, 서준. 세 청춘의 두근두근 눈호강 로맨스~♡
메이크업으로 여신이 된 주경이는 꿈과 사랑을 이룰 수 있을까?",https://comic.naver.com/webtoon/list?titleId=703846&weekday=tue,703846
60,집이 없어,9.97,와난,"스토리, 드라마","집을 버리고 뛰쳐나간 고해준, 집 없이 텐트 생활하는 문제아 백은영. 
악연으로 만난 두 사람은 버려진 옛날 기숙사에서 함께 살게 되는데.. 
기숙사도 서로도 싫지만 돌아갈 곳이 없는 두 사람의 힘든 성장 이야기",https://comic.naver.com/webtoon/list?titleId=721433&weekday=tue,721433
61,랜덤채팅의 그녀!,9.37,박은혁,"스토리, 드라마","랜덤채팅만 하던 준우에게 온 기적!
과연 그녀(들)에게 다가갈수 있을까?!
(읽다 보면 원픽 캐릭터 무조건 생김ㅇㅇ)",https://comic.naver.com/webtoon/list?titleId=702608&weekday=tue,702608
62,원주민 공포만화,9.87,원주민,"스토리, 스릴러","끝날 때까지 끝난 것이 아니다!
마지막까지 방심할 수 없는 다양한 에피소드.
당신의 상상을 뛰어넘는 본격 반전 공포 스릴러가 온다!",https://comic.naver.com/webtoon/list?titleId=698918&weekday=tue,698918
63,일렉시드,9.84,손제호 / 제나,"스토리, 액션","노블레스 손제호 작가와 소녀더와일즈 제나 작가가 만났다!
고양이 몸에 깃든 각성자 카이든과 각성능력을 숨겨온 고등학생 지우 
러블리 2인조의 액션 판타지",https://comic.naver.com/webtoon/list?titleId=717481&weekday=wed,717481
64,나쁜사람,9.66,둠스,"에피소드, 개그","착한 남자가 좋다는 그녀의 이상형이 되기 위해 10년 동안 노력했다. 
그런데! 갑자기 나쁜 남자가 좋다는 그녀...

오늘부터 난... 나쁜 남자로 다시 태어난다.",https://comic.naver.com/webtoon/list?titleId=750184&weekday=wed,750184
65,고삼무쌍,9.83,B급달궁 / 하마,"스토리, 액션","오로지 인생엔 운동과 공부뿐인 장삼봉.
어느 날 갑자기 돌아가신 할머니가 전설의 무림 정파 당주?
손주에게 남긴 비급을 찾기 위해 학교를 찾아오는 무림 고수들.
과연 그는 꿈꾸는 대학에 진학할 수 있을 것인가?!
천 년간 사라진 무림이 현대 고등학교를 배경으로 되살아난다!
무림인들의 고교습격! 장르파괴 무협학원액션",https://comic.naver.com/webtoon/list?titleId=728126&weekday=wed,728126
66,세상은 돈과 권력,9.88,한동우 / 이도희,"에피소드, 드라마","재벌 3세가 일반 고등학교에 들어오면서, 선생들과 학생들은 거대 자본에 굴복해 권력을 차지하기 위한 '두뇌싸움'이 난무하는 학교로 바뀐다. 이 학교의 법칙을 부수기 위해 천재 '단건우'가 전학온다.",https://comic.naver.com/webtoon/list?titleId=710747&weekday=wed,710747
67,판타지 여동생!,9.84,유누,"스토리, 판타지","게임 초보 여동생의 RPG 도전기.
트롤 취급은 노노! 제가 사실 엄청난 히든 직업을 갖고 있거든요?",https://comic.naver.com/webtoon/list?titleId=730425&weekday=wed,730425
68,얼굴천재,9.86,지에이,"스토리, 드라마","어느 날 갑자기 게임 캐릭터로 변신하는 능력이 생겼다! 
그 스킬과, 그 모습이 모두 내 것이다.
나는 이제 언제든 ""얼굴천재""가 된다!",https://comic.naver.com/webtoon/list?titleId=735979&weekday=wed,735979
69,하드캐리,9.91,조양,"스토리, 드라마","성격은 소심하지만 게임 실력 하나는 천상계 최고인 '도윤'과
공부, 인성, 외모, 게임 실력 어디 하나 부족한 것 없는 '수호'의 
본격 프로게이머 도전기!",https://comic.naver.com/webtoon/list?titleId=710761&weekday=thu,710761
70,쿠베라,9.96,카레곰,"스토리, 판타지","신의 이름을 가진 소녀 쿠베라 리즈. 15세 생일에 외출에서 돌아오다가 초토화되어버린 마을을 목격하게 되는데..! 신, 수라, 마법사들 사이에서 펼쳐지는 소속불명 장르 혼합 판타지.",https://comic.naver.com/webtoon/list?titleId=131385&weekday=thu,131385
71,트롤트랩,9.93,유비,"스토리, 판타지","트롤을 잡아, 인류를 지켜라!
정체불명 헌터 하태와 알바헌터 지현의 통쾌한 판타지 액션",https://comic.naver.com/webtoon/list?titleId=701700&weekday=thu,701700
72,갓 오브 하이스쿨,9.64,박용제,"스토리, 판타지","전국, 전세계 고등학생 중 가장 쎈 녀석을 뽑는 대회가 열린다.
허구 100% 막장 액션의 끝!! 기대하시라!!!",https://comic.naver.com/webtoon/list?titleId=318995&weekday=fri,318995
73,개를 낳았다,9.93,이선,"스토리, 드라마","사랑스러운 너와의 첫 만남부터 이별까지. 
처음으로 반려견을 키우게 된 다나와 모든것이 처음인 강아지 명동이가 만나 함께 살아가는 이야기. 
강아지 수명 20년. 너와 내가 함께하는 20년 동안 우린 어떤 일을 겪게 될까?",https://comic.naver.com/webtoon/list?titleId=712362&weekday=fri,712362
74,낙향문사전,9.73,바킹독 / 팀 페가수스 / 최현우,"스토리, 무협/사극","온갖 비리가 가득한 과거 시험에 낙방해 좌절한 주인공 손빈. 
자신의 신세를 한탄하는 손빈 앞에 나타난 사자혁은 그에게 자신의 일대기를 기록할 것을 청한다. 
이후 둘은 함께 천하를 주유하게 되는데, 
과연 그의 붓이 써 내려가는 무림 일대기는 어떠한 기록을 남기게 되고, 
무림 세계에 발을 들이게 된 손빈의 운명은 어찌 흘러갈는지……",https://comic.naver.com/webtoon/list?titleId=746534&weekday=fri,746534
75,1초,9.97,시니 / 광운,"스토리, 드라마","구조율 100%의 전설적인 소방관.  
그의 특별한 능력은 긴장하는 순간, 미래가 보인다는 것! 
촌각을 다투는 진짜 소방관들의 이야기",https://comic.naver.com/webtoon/list?titleId=725586&weekday=fri,725586
76,후덜덜덜 남극전자,9.94,김민혁,"옴니버스, 개그","남극전자 출근 1일차, 신입사원 김정훈! 
이직을 준비중입니다.",https://comic.naver.com/webtoon/list?titleId=732036&weekday=fri,732036
77,스터디그룹,9.96,신형욱 / 유승연,"스토리, 액션","우등생을 꿈꾸는 최강 소년의 고교액션활극.
공부를 잘 하고 싶지만 애석하게도 싸움 실력에만 재능이 몰빵된 고등학생 윤가민.
똥통학교 유성공고에서 스터디그룹을 만드는데….
그와 스터디 멤버들의 (진짜로) 피튀기는 입시이야기!",https://comic.naver.com/webtoon/list?titleId=721948&weekday=sat,721948
78,아홉수 우리들,9.98,수박양,"스토리, 로맨스","연애, 직장, 시험 어느 하나 뜻대로 되지 않는 29살 봉우리, 차우리, 김우리. 
제대로 걸렸다! 아.홉.수!
우리들의 팩트폭행 로맨틱 코미디!",https://comic.naver.com/webtoon/list?titleId=724815&weekday=sat,724815
79,나를 바꿔줘,9.87,이지호 / 호띠,"스토리, 드라마","수상한 생명보험에 드는 조건으로, 하루 아침에 내가 원하는 외모로 살 수 있게 된다면? 
인생을 바꾸기 위해 얼굴을 훔치다!",https://comic.naver.com/webtoon/list?titleId=733280&weekday=sat,733280
80,탑코너,9.65,윤성 / 라군,"스토리, 스포츠","소설가의 꿈을 가진 수학 천재소년 안시준. 
우연히 광진고 축구부의 유망주 허도형과 만나게 된다. 

뜻밖의 사건으로 시준에게 잠재된 축구 재능을 발견한 도형.
팀을 구하기 위해 시준에게 은밀한 거래를 제안하지만..

"".. 난 축구는 한 번도 해본 적 없는데..?""

과연 시준은 위기에 빠진 광진고 축구부의
구세주가 될 수 있을까?

꿈을 좇는 소년들의 축구드라마. 수학 천재의 킥오프가 시작된다!",https://comic.naver.com/webtoon/list?titleId=732021&weekday=sat,732021
81,홍시는 날 좋아해!,9.97,강하다 / 웃는해,"에피소드, 로맨스","스무 살 고3 홍시호가 전학 왔어요! 방긋방긋 웃는 모습 뒤에는 어떤 비밀이...?
단내 나는 홍시가 예쁘게 여물어가는 이야기.",https://comic.naver.com/webtoon/list?titleId=703839&weekday=sat,703839
82,싸움독학,9.74,박태준 만화회사 / 김정현 스튜디오,"스토리, 액션","힘없고 가진거 하나 없이 맞고만 살던 나였는데...
우연히 비밀의 뉴튜브를 발견하게 되고 갑자기 떼돈을 벌었다.",https://comic.naver.com/webtoon/list?titleId=736277&weekday=sun,736277
83,별이삼샵,9.96,혀노,"스토리, 드라마","ㄱ나니? 발신자 제한번호로 그녀에게 마음을 전했던 이야기. 
'남과여' 혀노 작가가 담아낸
 촌스럽지만 풋풋했던 2000년대 그 시절.",https://comic.naver.com/webtoon/list?titleId=737628&weekday=sun,737628
84,약한영웅,9.83,서패스 / 김진석,"에피소드, 액션","“비겁하다…? 애초에 동등한 시작이 아닌데...
 체급도 쪽수도 안 맞잖아- 이 X끼들아!!”
선천적으로 약한 소년이 상대보다 몇 수 앞을 예측하는 심리전과
지형지물을 이용하고, 도구로 살벌하게 끝장내는 파이터로 성장한다.
이제 그의 또 다른 이름은 '은장백사'다.",https://comic.naver.com/webtoon/list?titleId=710751&weekday=sun,710751
85,합격시켜주세용,9.98,이온,"스토리, 판타지","천년째 용이 되려는 수험생 바리와
전설의 과외선생 찬영이의 낙동강 용 합격 수기",https://comic.naver.com/webtoon/list?titleId=728128&weekday=sun,728128
,에피소드칵테일,9.81,정마루,"스토리, 로맨스",다양함이 모여 탄생하는 칵테일 처럼 개성 강한 남녀가 모여 만들어 가는 청춘 스토리.'에피소드메이비' 정마루 작가 신작!,https://comic.naver.com/webtoon/list?titleId=579352,579352
,프리드로우,9.81,전선욱,"스토리, 드라마","한태성을 중심으로 벌어지는 다양한 청춘들의 스펙타클한 학원 시트콤 드라마
",https://comic.naver.com/webtoon/list?titleId=597447,597447
,평범한 8반,9.80,영파카,"스토리, 드라마",안 평범한 아이들이 모인 평범한 8반고품격 웰메이드 병맛을 느껴보세요,https://comic.naver.com/webtoon/list?titleId=597478,597478
,윈드브레이커,9.84,조용석,"스토리, 스포츠",혼자서 자전거를 즐겨타던 모범생 조자현. 원치 않게 자전거 크루의 일에 자꾸 휘말리게 되는데… 자유를 꿈꾸는 청춘들의 스트릿라이딩 드라마!,https://comic.naver.com/webtoon/list?titleId=602910,602910
,모던패밀리 2,9.68,외눈박이 / 시현,"에피소드, 개그",행복한 가정을 이루기 위해 고군분투하는 어느 수상한 가족 이야기그 두번째 시즌!,https://comic.naver.com/webtoon/list?titleId=617882,617882
,마루한 - 구현동화전,9.89,박성우,"옴니버스, 무협/사극",책을 읽는 것 만으로도 강해지는 마루한그가 읽어가는 무협 동화 이야기,https://comic.naver.com/webtoon/list?titleId=624632,624632
,복학왕,9.06,기안84,"스토리, 드라마",패션왕 우기명이 돌아왔다!즐거운 대학 생활?! 과연?!,https://comic.naver.com/webtoon/list?titleId=626907,626907
,외모지상주의,9.47,박태준,"스토리, 드라마","못생기고 뚱뚱하다고 괴롭힘을 당하며 루저 인생만 살아온 내가 잘생겨졌다는 이유로 인싸가 됐다.

어느 날 자고 일어났더니 갑자기 완벽한 외모와 몸을 지닌 사람이 되어 깨어난다면?",https://comic.naver.com/webtoon/list?titleId=641253,641253
,뷰티풀 군바리,9.81,설이 / 윤상원,"스토리, 드라마",여자도 군대에 간다면?'본격 여자도 군대 가는 만화!,https://comic.naver.com/webtoon/list?titleId=648419,648419
,야부리맨,9.84,미티,"스토리, 개그",말하는대로 모든 것이 이루어진다?! 역대급 슈퍼히어로의 초특급 재능낭비! 미티 작가의 컷툰 신작,https://comic.naver.com/webtoon/list?titleId=651665,651665
,은주의 방 2~3부,9.94,노란구미,"스토리, 드라마","인테리어, 그것은 삶을 바꿔주는 마법이다!
반복되는 야근과 업무 스트레스로 회사를 때려치운 뒤
셀프 인테리어로 인기 블로거가 된 은주.
그녀의 인테리어에서 연애까지, 라이프 체인지 스토리.",https://comic.naver.com/webtoon/list?titleId=654138,654138
,소녀의 세계,9.93,모랑지,"스토리, 드라마","완벽해 보이지만 사실 외로웠던 백조들과 맘씨 착한 오리가 만나
여러 갈등을 함께 겪으며 진짜 친구가 되어가는 소녀들의 찐 우정물",https://comic.naver.com/webtoon/list?titleId=654774,654774
,스피릿 핑거스,9.98,한경찰,"스토리, 로맨스","평범한 여고생, 알록달록 이상한 그림모임에 들어가다!나만의 색을 찾아 떠나는 모험 이야기!",https://comic.naver.com/webtoon/list?titleId=654809,654809
,마법스크롤 상인 지오,9.96,엄재경 / 호패,"스토리, 판타지","마법사인 듯, 마법사 아닌
마법사 같은 너! 오지오!",https://comic.naver.com/webtoon/list?titleId=655746,655746
,닥터 프로스트 시즌 3~4,9.97,이종범,"스토리, 드라마",세상으로부터의 무력감. 엄습하는 두려움. 또다시 덧씌운 분노.끝없는 혐오의 고리로 만들어진 지옥도가 펼쳐진 대한민국.닥터프로스트와 그의 제자 윤성아가 거대한 음모를 막아선다.,https://comic.naver.com/webtoon/list?titleId=655749,655749
,연놈,9.85,상하,"스토리, 드라마","중2 여름, 가지 말라는 말도 좋아했다는 말도 하지 못한 채 보낸 그녀가 3년 만에 나타났다.
지나버린 시간과 마주한 소년 그리고 소녀의 이야기",https://comic.naver.com/webtoon/list?titleId=667573,667573
,203호 저승사자,9.91,샤니,"에피소드, 개그",어느날 저승사자가 찾아왔다.그런데 이 저승사자... 제 정신이 아니다.,https://comic.naver.com/webtoon/list?titleId=670140,670140
,킬더킹,9.67,마사토끼/joana,"스토리, 드라마","왕의 재능이란 무엇일까?
왕좌의 새로운 주인, 진정한 왕에 걸맞는 재능을 가려내는 게임이 시작된다!",https://comic.naver.com/webtoon/list?titleId=670145,670145
,열렙전사,9.92,김세훈,"스토리, 판타지","'퀘스트를 클리어 하는 자, 모든 것을 얻을 것이다'현실 밖의 현실, 루시드 어드벤쳐 최강의 용사 '열렙전사'와 동료들이 벌이는 본격 RPG 어드벤쳐.",https://comic.naver.com/webtoon/list?titleId=670152,670152
,제로게임,9.97,즐바센,"스토리, 판타지","죽음을 선택한 사람들의 인생 재건설 서바이벌!
2015 대학만화 최강자전 수상작",https://comic.naver.com/webtoon/list?titleId=676695,676695
,체크포인트,9.96,송가 / 은소,"스토리, 드라마",내 인생에 세이브 포인트가 있다면?하루에도 수십 번씩 시간을 되돌리는 남자.,https://comic.naver.com/webtoon/list?titleId=677452,677452
,아테나 컴플렉스,9.88,케이사르,"스토리, 판타지",이런 여신님은 처음!어느 여신님의 수천년에 걸친 애절한 짝사랑 이야기,https://comic.naver.com/webtoon/list?titleId=679543,679543
,놓지마 정신줄 시즌2,9.94,신태훈 / 나승훈,"에피소드, 개그","정신, 정주리 남매와 독특한 주변 인물들의정신줄 놓게 만드는 다양한 에피소드들!본격 유체이탈 예방 프로젝트 '놓지마 정신줄'을 이제 컷툰으로 만나보세요",https://comic.naver.com/webtoon/list?titleId=682637,682637
,골든 체인지,9.98,브림스,"스토리, 판타지",세상에서 가장 불운한 소녀 강유와 소녀의 불운을 막아주는 수상한 산신령 우암이 펼치는 판타지세계,https://comic.naver.com/webtoon/list?titleId=685460,685460
,꿈의 기업,9.97,문지현,"스토리, 스릴러",문명을 지배하는 거대기업과 거대기업을 움직이는 인공지능. 그 인공지능이 꿈을 꾸기 시작했다. 엄청난 경쟁률을 뚫고 대기업 드림코퍼레이션에 입사한 꿈사원들. 그들 앞에 의심스러운 일들이 펼쳐지는데..!,https://comic.naver.com/webtoon/list?titleId=687915,687915
,내일,9.98,라마,"옴니버스, 드라마","다 되는데 취업만은 안되는 취준생 최준웅(27세,남)
우연한 사고로 저승독점기업 주마등의 저승차사들을 만나게되고

특별 위기관리팀의 계약직 막내로 일하며 위기에 처한 사람들을 돕게 되는데.",https://comic.naver.com/webtoon/list?titleId=695796,695796